id,description,price,mileage,year,age,transmission,size,power,fuel
1,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,20495,151,2018,0,Automatic,1.6,211,Petrol
2,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,20450,7000,2017,1,Automatic,1.6,211,Petrol
3,Nissan Juke 1.6 DiG-T Nismo RS 5dr,19995,11,2018,0,Manual,1.6,215,Petrol
4,Nissan Juke 1.6 DiG-T Nismo RS 5dr,19995,6,2018,0,Manual,1.6,215,Petrol
5,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,18995,25,2018,0,Manual,1.6,215,Petrol
6,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,18989,2063,2017,1,Automatic,1.6,211,Petrol
7,Nissan Juke 1.6 DiG-T Nismo RS (Recaro/Tech Pack) 5dr,18900,5000,2018,0,Manual,1.6,215,Petrol
8,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,18795,25,2018,0,Manual,1.6,215,Petrol
9,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,18495,5061,2017,1,Automatic,1.6,211,Petrol
10,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,18395,25,2018,0,Manual,1.6,215,Petrol
12,Nissan Juke 1.6 DIG-T Nismo RS 5dr,17999,5678,2017,1,Manual,1.6,215,Petrol
13,Nissan Juke 1.6 DIG-T Nismo RS Recaro Tech Pack 5-Door Hatch 5dr,17995,400,2017,1,Manual,1.6,215,Petrol
14,Nissan Juke 1.6 DIG-T Nismo RS Recaro Tech 5-Door Hatchback 5dr,17495,3500,2017,1,Manual,1.6,215,Petrol
15,Nissan Juke 1.6 DIG-T Nismo RS M-Xtronic 4X4 5dr,17400,3200,2017,1,Automatic,1.6,211,Petrol
16,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,17000,2400,2017,1,Manual,1.6,215,Petrol
17,Nissan Juke 1.6 DiG-T Nismo RS [Recaro/Tec Pk] 5dr 4WD Xtronic,16999,6211,2016,2,Automatic,1.6,211,Petrol
18,Nissan Juke 1.6 DiG-T Nismo RS 5dr,16995,8428,2017,1,Manual,1.6,215,Petrol
19,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,16995,5090,2017,1,Manual,1.6,215,Petrol
20,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,16995,10585,2015,3,Automatic,1.6,211,Petrol
21,Nissan Juke 1.6 DIG-T Nismo RS 5-Door Hatchback 5dr,16995,5954,2017,1,Manual,1.6,215,Petrol
23,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,16995,3809,2017,1,Automatic,1.6,211,Petrol
24,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic,16990,3007,2016,2,Automatic,1.6,211,Petrol
25,Nissan Juke 1.6 DiG-T Nismo RS 5dr,16980,5000,2017,1,Manual,1.6,215,Petrol
26,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,16885,10064,2017,1,Automatic,1.6,211,Petrol
27,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,16465,5710,2017,1,Automatic,1.6,211,Petrol
28,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,16234,8628,2017,1,Automatic,1.6,211,Petrol
29,Nissan Juke 1.6 DIG-T Nismo RS SUV 5dr Petrol Manual (168 g/km,16000,371,2017,1,Manual,1.6,215,Petrol
30,Nissan Juke 1.6 DiG-T Nismo RS 5dr Xtronic 4WD,15999,4470,2016,2,Automatic,1.6,211,Petrol
31,Nissan Juke Nismo Rs Dig-t 1.6 5dr,15990,3990,2017,1,Manual,1.6,215,Petrol
32,Nissan Juke 1.6 DiG-T Nismo RS 5dr 4WD Xtronic,15990,6646,2016,2,Automatic,1.6,211,Petrol
33,Nissan Juke 1.6 DIG-T 4X4 Nismo RS 5-Door Hatchback 5dr,15290,15157,2016,2,Automatic,1.6,211,Petrol
34,Nissan Juke 1.6 DiG-T Nismo RS (Recaro Pack) 5dr,15990,3360,2017,1,Manual,1.6,215,Petrol
35,Nissan Juke 1.6 DiG-T Nismo RS 5dr,15795,7081,2017,1,Manual,1.6,215,Petrol
